PPP1R12B,axolotl_gene,human_gene,D0,D0.5,D1,D1.5,D2,D3,D4,D5,D7,D9,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,LFC,ME,LME
11314,axo20446-f_at,RPL23,26253.78845,26104.64647,25695.4447,26115.01659,25882.8704,26876.32014,26757.80216,26604.74583,26324.91039,26811.02955,26027.56993,10249.30774,9674.064826,9792.391141,26649.44745,26374.66228,26386.41992,26598.69786,26592.81717,26723.2527,-1.44033151,23924.76028,14.54621685
11373,axo18210-f_at,RPS20,26471.69584,26214.96501,26041.77202,25953.6891,26534.44954,26219.67168,26157.37233,26323.94332,25913.69281,26391.52323,25464.13341,10035.0837,9624.660856,9707.717631,26251.95055,26340.24237,26352.05773,26587.2695,26017.72144,26637.03716,-1.45964301,23762.03246,14.53637062
11371,axo08711-r_at,RPS2,24646.37757,25268.42286,24968.0062,25180.93094,25436.31395,26176.59816,26479.95408,26274.97917,26082.23718,26068.08529,25727.68451,10074.20372,9580.253329,9761.782348,26381.18959,26304.80983,27217.59552,26906.98273,27076.9196,26608.47117,-1.36323991,23611.08989,14.52717702
11329,axo14608-f_at,RPL32,26070.05489,25920.78878,25614.7111,25759.48268,25973.62938,26136.25835,26066.33266,25907.85582,25876.32289,25913.87243,25575.7513,10017.3703,9437.052475,9503.352646,25302.14369,25606.31448,25564.60297,25555.51421,25519.84595,25483.66223,-1.46598539,23340.24596,14.51053214
4107,axo07215-3_at,EEF1A1,24718.7471,25065.64955,24759.73065,25193.88521,25193.09938,25280.66862,25226.66723,24961.30948,25094.95955,25122.00516,24936.63193,9813.684054,9329.359875,9491.339159,25187.4247,25247.95642,25454.18053,25640.41514,25528.3027,25381.4347,-1.40575562,22831.37256,14.47872997
2722,axo07078-r_at,CIRBP,24549.10827,25399.20992,24989.76995,25308.56345,25168.75093,25126.37627,25098.22993,24744.46106,24194.23998,24502.00178,24382.22222,9676.818852,9121.486376,9360.892483,24691.75909,25148.43495,24844.41584,25454.03938,24938.08389,25853.28527,-1.42832978,22627.60749,14.46579643
11360,axo20465-f_at,RPS12,23715.96578,24064.00247,23137.28558,24027.15147,24114.81296,24302.09385,23924.09946,23904.57275,24202.67685,24285.47359,23576.3212,9339.275558,8881.947325,9069.691224,24369.36435,24375.24332,24568.7187,23968.93189,24045.92826,24334.62631,-1.4169107,21810.40914,14.41272921
11379,axo00645-f_at,RPS27,24308.917,24077.36678,23922.49097,23644.49978,24014.79712,24049.89542,24405.94511,23886.80041,23745.35986,23808.58071,23133.14827,9070.240378,8577.28522,8729.417905,23279.23453,23207.02549,23232.10084,23538.40592,23361.90014,23604.31507,-1.50289262,21479.88635,14.39069874
11513,axo11236-r_at,S100A11,21703.28794,22909.39914,22719.85489,23249.88565,23502.03399,23874.13761,23673.62477,24079.03575,23713.73023,23667.40646,23896.86923,9285.658639,8684.980112,8685.797663,22968.86583,22740.06882,22168.72227,22374.62682,21988.58276,22639.33561,-1.32131917,20926.29521,14.3530293
7020,axo08052-f_at,KRT15,20870.34748,21913.93582,23861.96117,21824.33388,21519.1877,23323.27884,20448.0975,22547.84602,22018.07925,19509.59218,21341.21953,7579.507222,7946.383304,7810.190053,22961.08188,24871.9155,25404.8971,24931.3952,27064.31025,26725.21623,-1.46127866,20723.63881,14.33898972
11299,axo11618-f_at,RPL10,22347.78151,22435.59772,22194.24482,22286.58582,22117.01398,22642.49,22596.99011,22491.91688,22549.28393,22666.13838,22323.28928,8796.344551,8379.914855,8568.033824,22606.73462,22872.7625,22767.08553,23100.01231,23277.47578,23312.48215,-1.41512413,20516.60893,14.32450468
13498,axo18011-f_at,TMSB4X,19898.54055,21130.94987,22231.24308,22779.28747,23000.60198,23595.90687,24728.00105,23975.51193,24937.79003,23822.99206,24184.54877,9394.200565,8727.51079,8234.896887,21774.56081,21281.09847,21142.59734,21758.82453,21651.2095,21282.86865,-1.27284013,20476.65706,14.32169259
11336,axo10821-f_at,RPL37A,22985.41351,22458.78094,22468.18552,22344.69915,22553.53569,22796.69403,23137.55822,22785.44616,22651.8145,22911.84472,21874.06909,8764.126362,8300.686369,8279.463727,22045.21612,21956.52317,22323.36665,22262.94765,22175.03867,22305.88858,-1.47310939,20369.06494,14.31409213
6201,axo12246-f_at,HSPA8,18597.61502,20594.83575,20442.01796,21157.12536,21804.38985,22263.31801,22335.71782,22539.95477,23005.20991,23104.36791,22903.11168,9128.733041,8697.176216,8956.576894,23775.53196,23314.0173,23846.74936,23572.54653,23481.09391,23553.02922,-1.09649865,20353.65592,14.31300033
2720,axo20493-r_at,CIRBP,17228.13604,19927.44326,20745.64655,21116.23491,22325.74968,22587.8604,22359.63473,22248.90941,22726.01327,22208.94129,22094.13761,8820.838389,8624.167839,8639.156298,23364.65315,23379.80052,24050.42887,24281.13096,24003.29763,23709.40767,-0.99830946,20222.07942,14.30364374
3032,axo00351-r_at,Cox2,22792.72821,21912.5688,21426.521,22109.50339,21838.81567,22042.54218,21918.87299,22211.25052,23038.27375,23125.86967,22976.36576,8864.469135,8539.950605,8541.171281,22740.77813,21929.13066,21455.87326,22552.45704,20663.92941,22528.70865,-1.41627399,20160.48901,14.29924301
11304,axo08705-r_at,RPL15,22561.72882,22350.67838,22459.23239,22267.19172,22273.39723,22176.71413,22647.96807,21981.23767,21759.60881,21809.10582,21705.83045,8698.871032,8200.272007,8114.824452,21671.83959,22039.13529,22380.61406,22638.59808,22145.54681,22448.91348,-1.47524583,20116.56541,14.29609639
11516,axo11587-f_at,S100A2,20111.54088,23040.3019,21909.24274,23245.64763,23084.55018,23341.50557,21419.85361,22764.2767,21002.04221,21571.50181,21935.12033,8348.120097,7840.705949,8139.324039,22168.64544,21659.42015,21271.91062,21506.55759,20755.90187,21553.52178,-1.35896816,19833.48455,14.27565055
